KLVR Charger Detection Monitor - Started 2025-08-26 13:47:27
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:47:27 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV | Cycle=1
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1602mV | Δ= -38mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1576mV | Δ=   6mV | Cycle=2
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1562mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1578mV | Δ=  -2mV | Cycle=3
# 82 13:48:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 83 13:48:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 84 13:48:12 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 85 13:48:12 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 86 13:48:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 87 13:48:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 88 13:48:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 89 13:48:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 90 13:48:15 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 91 13:48:15 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1534mV | Δ=   2mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=3
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1538mV | Δ=  -6mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1546mV | Δ=   4mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1566mV | Δ=   6mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1594mV | Δ=   0mV | Cycle=3
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1576mV | Δ= -20mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV | Cycle=1
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1566mV | Δ= -10mV | Cycle=1
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1606mV | Δ= -36mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1564mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1614mV | AAA_OFF=1582mV | Δ=  32mV | Cycle=3
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1592mV | Δ= -40mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1602mV | Δ= -38mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1576mV | Δ=   6mV | Cycle=2
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1562mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1578mV | Δ=  -2mV | Cycle=3
# 92 13:48:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 93 13:48:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 94 13:48:17 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 95 13:48:17 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 96 13:48:18 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 97 13:48:19 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 98 13:48:19 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 99 13:48:20 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#100 13:48:20 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#101 13:48:21 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=   2mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=  -4mV | Cycle=2
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1562mV | Δ=  -4mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1582mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV | Cycle=1
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1594mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=3
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1582mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1536mV | Δ=  36mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=1
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1542mV | Δ=   2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1576mV | Δ=   6mV | Cycle=1
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1560mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1582mV | Δ=   6mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV | Cycle=1
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1560mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=1
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1572mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   2mV | Cycle=3
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1592mV | Δ=   2mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=3
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1580mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   6mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=1
#102 13:48:21 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#103 13:48:22 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#104 13:48:22 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#105 13:48:23 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#106 13:48:23 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#107 13:48:24 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#108 13:48:24 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#109 13:48:25 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#110 13:48:26 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#111 13:48:26 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=   2mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=  -4mV | Cycle=2
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1562mV | Δ=  -4mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1582mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV | Cycle=1
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1594mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=3
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1582mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1536mV | Δ=  36mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=1
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1542mV | Δ=   2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1576mV | Δ=   6mV | Cycle=1
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1560mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1582mV | Δ=   6mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV | Cycle=1
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1560mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=1
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1572mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   2mV | Cycle=3
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1592mV | Δ=   2mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=3
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1580mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   6mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=1
#112 13:48:27 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#113 13:48:27 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#114 13:48:28 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#115 13:48:28 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#116 13:48:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#117 13:48:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#118 13:48:30 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#119 13:48:30 | [AA TEST] Total: 24 | Correct AA: 24 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 48 → 24
#120 13:48:31 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 24 → 13
#121 13:48:31 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1582mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1570mV | Δ= -10mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1584mV | Δ=   6mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1572mV | Δ=  26mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   2mV | Cycle=3
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1598mV | Δ= -36mV | Cycle=1
#122 13:48:32 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#123 13:48:33 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#124 13:48:33 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#125 13:48:34 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#126 13:48:34 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#127 13:48:35 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#128 13:48:35 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#129 13:48:36 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#130 13:48:36 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#131 13:48:37 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1582mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1570mV | Δ= -10mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1584mV | Δ=   6mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1572mV | Δ=  26mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=3
