KLVR Charger Detection Monitor - Started 2025-08-26 14:55:34
Monitoring: http://10.110.73.155:8000
============================================================

#  1 14:55:34 | [AAA TEST] Total: 25 | Detected AAA: 24 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1594mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1216mV | Δ= 352mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1210mV | Δ= 362mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=2
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1232mV | Δ= 302mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1234mV | Δ= 352mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1218mV | Δ= 316mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1204mV | Δ= 350mV | Cycle=3
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1240mV | Δ= 306mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=1
# 52 14:56:12 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 53 14:56:12 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 54 14:56:13 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 55 14:56:14 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 56 14:56:15 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 57 14:56:15 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 58 14:56:16 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 24 → 22
# 59 14:56:17 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 60 14:56:18 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 61 14:56:18 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1398mV | AAA_OFF=1096mV | Δ= 302mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1174mV | Δ= 366mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1184mV | Δ= 366mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1554mV | Δ=1556mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=1554mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1564mV | Δ=1560mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1184mV | Δ= 358mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=1582mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1232mV | Δ= 328mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1216mV | Δ= 352mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1210mV | Δ= 362mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=2
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=1552mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1234mV | Δ= 352mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1218mV | Δ= 316mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1204mV | Δ= 350mV | Cycle=3
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1240mV | Δ= 306mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=1
# 62 14:56:19 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 63 14:56:20 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 64 14:56:21 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 65 14:56:21 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 66 14:56:22 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 67 14:56:23 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 68 14:56:24 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 69 14:56:24 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 70 14:56:25 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 71 14:56:26 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1398mV | AAA_OFF=1096mV | Δ= 302mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1174mV | Δ= 366mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1184mV | Δ= 366mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1554mV | Δ=1556mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=1554mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1564mV | Δ=1560mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1184mV | Δ= 358mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=1582mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1232mV | Δ= 328mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1216mV | Δ= 352mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1210mV | Δ= 362mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=2
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=1552mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1234mV | Δ= 352mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1218mV | Δ= 316mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1204mV | Δ= 350mV | Cycle=3
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1240mV | Δ= 306mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=1
# 72 14:56:27 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 22 → 5
# 73 14:56:27 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 74 14:56:28 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 75 14:56:29 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 76 14:56:29 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 77 14:56:30 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 78 14:56:31 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 79 14:56:32 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 80 14:56:32 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 81 14:56:33 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1212mV | Δ= 346mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1206mV | Δ= 358mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1398mV | AAA_OFF=1096mV | Δ= 302mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=  24mV | AAA_OFF=   6mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=  28mV | Δ=   0mV | Cycle=3
# 82 14:56:34 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 83 14:56:35 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 84 14:56:35 | [AAA TEST] Total:  5 | Detected AAA:  5 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 85 14:56:36 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 5 → 18
# 86 14:56:37 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 87 14:56:38 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 88 14:56:38 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 89 14:56:39 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 90 14:56:40 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 91 14:56:41 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1192mV | Δ= 372mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1184mV | Δ= 364mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1394mV | AAA_OFF=1068mV | Δ= 326mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1212mV | Δ= 350mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1188mV | Δ= 358mV | Cycle=1
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1436mV | AAA_OFF=1092mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1178mV | Δ= 360mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1194mV | Δ= 350mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1224mV | Δ= 322mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1204mV | Δ= 342mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1234mV | Δ= 324mV | Cycle=3
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1192mV | Δ= 366mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1234mV | Δ= 310mV | Cycle=3
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1236mV | Δ= 346mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1240mV | Δ= 324mV | Cycle=1
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1218mV | Δ= 352mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1236mV | Δ= 354mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=1
# 92 14:56:41 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 93 14:56:42 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 94 14:56:43 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 95 14:56:43 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 96 14:56:44 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 97 14:56:45 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 98 14:56:46 | [AAA TEST] Total: 18 | Detected AAA: 18 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 99 14:56:46 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 18 → 24
#100 14:56:47 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#101 14:56:48 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1192mV | Δ= 372mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1184mV | Δ= 364mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1394mV | AAA_OFF=1068mV | Δ= 326mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1212mV | Δ= 350mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1188mV | Δ= 358mV | Cycle=1
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1436mV | AAA_OFF=1092mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1178mV | Δ= 360mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1194mV | Δ= 350mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1224mV | Δ= 322mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1204mV | Δ= 342mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1234mV | Δ= 324mV | Cycle=3
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1192mV | Δ= 366mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1234mV | Δ= 310mV | Cycle=3
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1236mV | Δ= 346mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1240mV | Δ= 324mV | Cycle=1
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1218mV | Δ= 352mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1236mV | Δ= 354mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1216mV | Δ= 326mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1238mV | Δ= 350mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1218mV | Δ= 316mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1204mV | Δ= 352mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1236mV | Δ= 314mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1194mV | Δ= 352mV | Cycle=1
#102 14:56:49 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#103 14:56:49 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#104 14:56:50 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#105 14:56:51 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#106 14:56:52 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#107 14:56:52 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#108 14:56:53 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#109 14:56:54 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#110 14:56:55 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#111 14:56:55 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1192mV | Δ= 372mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1184mV | Δ= 364mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1394mV | AAA_OFF=1068mV | Δ= 326mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1212mV | Δ= 350mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1188mV | Δ= 358mV | Cycle=1
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1436mV | AAA_OFF=1092mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1178mV | Δ= 360mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1194mV | Δ= 350mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1224mV | Δ= 322mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1204mV | Δ= 342mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1234mV | Δ= 324mV | Cycle=3
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1192mV | Δ= 366mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1234mV | Δ= 310mV | Cycle=3
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1236mV | Δ= 346mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1240mV | Δ= 324mV | Cycle=1
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1218mV | Δ= 352mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1236mV | Δ= 354mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1216mV | Δ= 326mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1238mV | Δ= 350mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1218mV | Δ= 316mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1204mV | Δ= 352mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1236mV | Δ= 314mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1194mV | Δ= 352mV | Cycle=1
#112 14:56:56 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#113 14:56:57 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#114 14:56:58 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#115 14:56:58 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#116 14:56:59 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#117 14:57:00 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#118 14:57:01 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#119 14:57:01 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#120 14:57:02 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#121 14:57:03 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1192mV | Δ= 372mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1184mV | Δ= 364mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1394mV | AAA_OFF=1068mV | Δ= 326mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1554mV | Δ=  34mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1546mV | Δ=1534mV | Cycle=1
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1436mV | AAA_OFF=1092mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1178mV | Δ= 360mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1574mV | Δ=1538mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1234mV | Δ= 310mV | Cycle=3
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1580mV | Δ=1584mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1240mV | Δ= 324mV | Cycle=1
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1236mV | Δ= 354mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1548mV | Δ=1544mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=1548mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=1564mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1194mV | Δ= 352mV | Cycle=1
#122 14:57:03 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
