KLVR Charger Detection Monitor - Started 2025-08-26 15:01:19
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:01:19 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=1558mV | Cycle=2
#151 15:03:10 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1564mV | Δ=1544mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1402mV | AAA_OFF=1060mV | Δ= 342mV | Cycle=1
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1434mV | AAA_OFF=1090mV | Δ= 344mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=1560mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=1556mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1570mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1592mV | Δ=1592mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=1546mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1548mV | Δ=1556mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1594mV | Δ=1586mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1554mV | Δ=1556mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=1564mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
#152 15:03:11 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#153 15:03:12 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#154 15:03:13 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#155 15:03:13 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#156 15:03:14 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#157 15:03:15 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#158 15:03:16 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#159 15:03:16 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#160 15:03:17 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#161 15:03:19 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1592mV | Δ=1556mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1402mV | AAA_OFF=1060mV | Δ= 342mV | Cycle=1
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1540mV | Δ=1546mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1434mV | AAA_OFF=1090mV | Δ= 344mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=1554mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1578mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1578mV | AAA_OFF=1572mV | Δ=1570mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=1594mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=1546mV | Cycle=3
#162 15:03:21 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#163 15:03:22 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#164 15:03:23 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#165 15:03:24 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#166 15:03:25 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#167 15:03:25 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#168 15:03:26 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#169 15:03:27 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#170 15:03:28 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#171 15:03:28 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1594mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1402mV | AAA_OFF=1060mV | Δ= 342mV | Cycle=1
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1552mV | Δ=1542mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1434mV | AAA_OFF=1090mV | Δ= 344mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1542mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1588mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1548mV | Δ=1550mV | Cycle=3
#172 15:03:29 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#173 15:03:30 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#174 15:03:31 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#175 15:03:31 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#176 15:03:32 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#177 15:03:33 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#178 15:03:34 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#179 15:03:34 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#180 15:03:35 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#181 15:03:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1594mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1402mV | AAA_OFF=1060mV | Δ= 342mV | Cycle=1
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1552mV | Δ=1542mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1434mV | AAA_OFF=1090mV | Δ= 344mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1542mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1588mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1548mV | Δ=1550mV | Cycle=3
#182 15:03:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#183 15:03:37 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#184 15:03:38 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#185 15:03:39 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#186 15:03:39 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#187 15:03:40 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#188 15:03:41 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#189 15:03:42 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#190 15:03:42 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#191 15:03:43 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1402mV | AAA_OFF=1060mV | Δ= 342mV | Cycle=1
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=1558mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1434mV | AAA_OFF=1090mV | Δ= 344mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1544mV | Δ=1556mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=1558mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=1566mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1578mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=1568mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1544mV | Δ=1546mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=1548mV | Cycle=3
#192 15:03:44 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#193 15:03:45 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#194 15:03:45 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#195 15:03:46 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#196 15:03:47 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#197 15:03:48 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#198 15:03:48 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#199 15:03:49 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#200 15:03:50 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#201 15:03:51 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1402mV | AAA_OFF=1060mV | Δ= 342mV | Cycle=1
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=1566mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1532mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1434mV | AAA_OFF=1090mV | Δ= 344mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=1542mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1546mV | Δ=1548mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1556mV | Δ=1558mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1566mV | Δ=1566mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1584mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1574mV | Δ=1576mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1594mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=1546mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=1548mV | Cycle=3
#202 15:03:51 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#203 15:03:52 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#204 15:03:53 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#205 15:03:54 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#206 15:03:54 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#207 15:03:55 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#208 15:03:56 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#209 15:03:56 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#210 15:03:57 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#211 15:03:58 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1534mV | Δ=1542mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1402mV | AAA_OFF=1060mV | Δ= 342mV | Cycle=1
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1434mV | AAA_OFF=1090mV | Δ= 344mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=1554mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=1546mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=1558mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=1566mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1582mV | Δ=1586mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1570mV | Δ=   0mV | Cycle=3
