KLVR Charger Detection Monitor - Started 2025-08-26 15:42:59
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:43:04 | ❌ Connection failed
#  2 15:43:09 | ❌ Connection failed
#  3 15:43:10 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 15:43:11 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 15:43:13 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 15:43:14 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 15:43:16 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1530mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1536mV | Δ=   0mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1542mV | Δ= -22mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1562mV | Δ= -46mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1580mV | Δ= -20mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1576mV | Δ= -34mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1514mV | Δ=  38mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1566mV | Δ=   8mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
# 62 15:43:54 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 63 15:43:55 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 64 15:43:56 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 65 15:43:56 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 66 15:43:57 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 67 15:43:58 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 68 15:43:59 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 69 15:43:59 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 70 15:44:00 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 71 15:44:01 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1586mV | Δ= -34mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1544mV | Δ= -12mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1576mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1564mV | Δ= -14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1580mV | Δ= -12mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1574mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1550mV | Δ= -12mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1536mV | Δ=   0mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=3
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1542mV | Δ= -22mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1562mV | Δ= -46mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1580mV | Δ= -20mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1576mV | Δ= -34mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1514mV | Δ=  38mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1566mV | Δ=   8mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
# 72 15:44:02 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 73 15:44:02 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 74 15:44:03 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 75 15:44:04 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 76 15:44:05 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 77 15:44:05 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 78 15:44:06 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 79 15:44:07 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 80 15:44:07 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 81 15:44:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1586mV | Δ= -34mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1544mV | Δ= -12mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1576mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1564mV | Δ= -14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1538mV | Δ=   0mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1580mV | Δ= -12mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1574mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1550mV | Δ= -12mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1582mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1536mV | Δ=   0mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1542mV | Δ= -22mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1562mV | Δ= -46mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1580mV | Δ= -20mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1576mV | Δ= -34mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1514mV | Δ=  38mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1566mV | Δ=   8mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
# 82 15:44:09 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 83 15:44:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 84 15:44:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 85 15:44:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 86 15:44:12 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 87 15:44:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 88 15:44:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 89 15:44:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 90 15:44:15 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 91 15:44:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1586mV | Δ= -34mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1544mV | Δ= -12mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1576mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1564mV | Δ= -14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1538mV | Δ=   0mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1580mV | Δ= -12mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1574mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1550mV | Δ= -12mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1582mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1536mV | Δ=   0mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1542mV | Δ= -22mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1562mV | Δ= -46mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1580mV | Δ= -20mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1576mV | Δ= -34mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1514mV | Δ=  38mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1566mV | Δ=   8mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
# 92 15:44:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 93 15:44:17 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 94 15:44:18 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 95 15:44:19 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 96 15:44:19 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 97 15:44:20 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 98 15:44:21 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 99 15:44:21 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#100 15:44:22 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#101 15:44:23 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1586mV | Δ= -34mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1530mV | AAA_OFF=1530mV | Δ=   0mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1544mV | Δ= -12mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1576mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
