KLVR Charger Detection Monitor - Started 2025-08-26 15:07:09
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:07:14 | ❌ Connection failed
#  2 15:07:20 | ❌ Connection failed
#  3 15:07:25 | ❌ Connection failed
#  4 15:07:31 | ❌ Connection failed
#  5 15:07:33 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  6 15:07:33 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  7 15:07:34 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  8 15:07:35 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  9 15:07:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 10 15:07:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 11 15:07:37 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1192mV | Δ= 368mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#126 15:09:02 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#127 15:09:03 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#128 15:09:04 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#129 15:09:04 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#130 15:09:05 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#131 15:09:06 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#132 15:09:07 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1234mV | Δ= 306mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1250mV | Δ= 294mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1218mV | Δ= 342mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1236mV | Δ= 330mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1236mV | Δ= 312mV | Cycle=1
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1236mV | Δ= 340mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1242mV | Δ= 322mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1268mV | Δ= 296mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1282mV | Δ= 298mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1228mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1238mV | Δ= 332mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1282mV | Δ= 292mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1250mV | Δ= 296mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=-2mV | Cycle=2
#133 15:09:07 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1268mV | Δ= 288mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1238mV | Δ= 310mV | Cycle=2
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1222mV | Δ= 342mV | Cycle=1
